Sr No.,Acknowledgement No,Bank A/C Number,IFSC Code,Address,Amount,Disputed Amount,Bank Name
1,ACK2025000001,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",22371,22059,Bank of Baroda
2,ACK2025000002,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",36550,31235,HDFC Bank
3,ACK2025000003,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",10754,8217,ICICI Bank
4,ACK2025000004,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",52645,40889,Yes Bank
5,ACK2025000005,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",7052,5072,Punjab National Bank
6,ACK2025000006,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",40550,38415,IndusInd Bank
7,ACK2025000007,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",24890,22198,IndusInd Bank
8,ACK2025000008,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",22831,17993,IndusInd Bank
9,ACK2025000009,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",28537,21223,HDFC Bank
10,ACK2025000010,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",11175,8507,ICICI Bank
11,ACK2025000011,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",40091,39929,HDFC Bank
12,ACK2025000012,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",15513,11318,ICICI Bank
13,ACK2025000013,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",45325,35476,IndusInd Bank
14,ACK2025000014,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",44862,37432,IndusInd Bank
15,ACK2025000015,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",45683,42551,Yes Bank
16,ACK2025000016,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",35798,33306,ICICI Bank
17,ACK2025000017,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",41225,40912,Bank of Baroda
18,ACK2025000018,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",25662,25223,Bank of Baroda
19,ACK2025000019,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",16692,15532,IndusInd Bank
20,ACK2025000020,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",20531,16189,HDFC Bank
21,ACK2025000021,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",46824,37580,Bank of Baroda
22,ACK2025000022,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",32820,23402,State Bank of India
23,ACK2025000023,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",31449,30287,ICICI Bank
24,ACK2025000024,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",47955,47602,HDFC Bank
25,ACK2025000025,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",18217,14920,ICICI Bank
26,ACK2025000026,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",29225,29030,Bank of Baroda
27,ACK2025000027,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",24999,22488,Punjab National Bank
28,ACK2025000028,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",6698,4969,ICICI Bank
29,ACK2025000029,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",14138,12355,State Bank of India
30,ACK2025000030,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",22495,20248,Bank of Baroda
31,ACK2025000031,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",33793,26787,Bank of Baroda
32,ACK2025000032,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",31918,27005,State Bank of India
33,ACK2025000033,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",45256,37512,HDFC Bank
34,ACK2025000034,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",29067,24377,ICICI Bank
35,ACK2025000035,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",48877,43249,HDFC Bank
36,ACK2025000036,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",27477,23222,IndusInd Bank
37,ACK2025000037,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",32403,28678,IndusInd Bank
38,ACK2025000038,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",42940,30537,IndusInd Bank
39,ACK2025000039,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",21771,17183,HDFC Bank
40,ACK2025000040,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",19836,16950,Yes Bank
41,ACK2025000041,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",29529,24955,Punjab National Bank
42,ACK2025000042,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",6498,5189,Yes Bank
43,ACK2025000043,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",35513,26309,ICICI Bank
44,ACK2025000044,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",50895,49780,IndusInd Bank
45,ACK2025000045,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",12568,11533,Yes Bank
46,ACK2025000046,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",38486,33391,HDFC Bank
47,ACK2025000047,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",25196,17702,Bank of Baroda
48,ACK2025000048,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",19004,16278,IndusInd Bank
49,ACK2025000049,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",21272,15167,State Bank of India
50,ACK2025000050,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",11719,11010,ICICI Bank
51,ACK2025000051,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",8801,8795,HDFC Bank
52,ACK2025000052,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",40347,35795,Bank of Baroda
53,ACK2025000053,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",30922,26477,Bank of Baroda
54,ACK2025000054,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",15418,13124,Yes Bank
55,ACK2025000055,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",45633,37493,Punjab National Bank
56,ACK2025000056,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",23085,19662,Punjab National Bank
57,ACK2025000057,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",12974,10564,State Bank of India
58,ACK2025000058,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",26155,23302,Punjab National Bank
59,ACK2025000059,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",38078,33961,IndusInd Bank
60,ACK2025000060,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",20898,19116,Yes Bank
61,ACK2025000061,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",24522,17254,State Bank of India
62,ACK2025000062,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",7969,7369,Punjab National Bank
63,ACK2025000063,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",30812,21763,Bank of Baroda
64,ACK2025000064,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",33118,27781,State Bank of India
